Customer ID,Recency,Frequency,Monetary,City,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment_Name
12346.0,321,12,77556.46,Kenitra,3,4,4,344,2,Clients à Risque / Perdus
12347.0,35,7,5408.5,Rabat,2,3,4,234,2,Clients à Risque / Perdus
12348.0,71,5,2019.4,Kenitra,2,3,3,233,2,Clients à Risque / Perdus
12349.0,14,4,4428.69,Oujda,1,3,4,134,2,Clients à Risque / Perdus
12350.0,305,1,334.4,Marrakech,3,1,1,311,0,Clients Réguliers
12351.0,370,1,300.93,Fès,3,1,1,311,0,Clients Réguliers
12352.0,31,10,2849.84,Tétouan,2,4,4,244,2,Clients à Risque / Perdus
12353.0,199,2,406.76,Tétouan,3,2,2,322,2,Clients à Risque / Perdus
12354.0,228,1,1079.4,Kenitra,3,1,3,313,2,Clients à Risque / Perdus
12355.0,209,2,947.61,Agadir,3,2,3,323,2,Clients à Risque / Perdus
12356.0,18,6,6373.68,Oujda,1,3,4,134,2,Clients à Risque / Perdus
12357.0,28,3,18287.66,Agadir,2,2,4,224,2,Clients à Risque / Perdus
12358.0,146,4,3203.87,Tanger,3,3,4,334,2,Clients à Risque / Perdus
12359.0,53,10,8935.94,Tanger,2,4,4,244,2,Clients à Risque / Perdus
12360.0,47,8,4252.89,Fès,2,4,4,244,2,Clients à Risque / Perdus
12361.0,282,4,511.25,Rabat,3,3,2,332,0,Clients Réguliers
12362.0,31,10,4827.19,Rabat,2,4,4,244,2,Clients à Risque / Perdus
12363.0,105,2,552.0,Rabat,3,2,2,322,2,Clients à Risque / Perdus
12364.0,3,4,1313.1,Kenitra,1,3,3,133,2,Clients à Risque / Perdus
12365.0,286,2,641.38,Rabat,3,2,2,322,0,Clients Réguliers
12366.0,629,1,500.24,Casablanca,4,1,2,412,0,Clients Réguliers
12368.0,623,1,917.6999999999999,El Jadida,4,1,3,413,0,Clients Réguliers
12369.0,409,3,1791.15,Casablanca,4,2,3,423,0,Clients Réguliers
12370.0,46,7,4320.31,Casablanca,2,3,4,234,2,Clients à Risque / Perdus
12371.0,40,5,4067.38,Fès,2,3,4,234,2,Clients à Risque / Perdus
12372.0,67,3,1298.04,Meknès,2,2,3,223,2,Clients à Risque / Perdus
12373.0,307,3,1127.65,Rabat,3,2,3,323,0,Clients Réguliers
12374.0,20,4,2989.2200000000003,Casablanca,1,3,4,134,2,Clients à Risque / Perdus
12375.0,6,2,457.5,Tanger,1,2,2,122,2,Clients à Risque / Perdus
12376.0,385,2,503.15,Casablanca,4,2,2,422,0,Clients Réguliers
12377.0,310,4,3426.32,Casablanca,3,3,4,334,0,Clients Réguliers
12378.0,125,2,5416.32,Marrakech,3,2,4,324,2,Clients à Risque / Perdus
12379.0,77,4,1620.22,Marrakech,2,3,3,233,2,Clients à Risque / Perdus
12380.0,17,11,9676.300000000001,Rabat,1,4,4,144,2,Clients à Risque / Perdus
12381.0,28,4,1698.3,Rabat,2,3,3,233,2,Clients à Risque / Perdus
12383.0,180,5,1850.56,Fès,3,3,3,333,2,Clients à Risque / Perdus
12384.0,24,2,585.27,Rabat,1,2,2,122,2,Clients à Risque / Perdus
12385.0,374,1,1938.4,Marrakech,3,1,3,313,0,Clients Réguliers
12386.0,333,2,660.8,Tanger,3,2,2,322,0,Clients Réguliers
12387.0,410,1,143.94,Casablanca,4,1,1,411,0,Clients Réguliers
12388.0,11,8,3901.11,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
12389.0,398,3,1433.33,Rabat,4,2,3,423,0,Clients Réguliers
12390.0,75,1,549.84,Oujda,2,1,2,212,2,Clients à Risque / Perdus
12391.0,17,6,2773.42,Casablanca,1,3,4,134,2,Clients à Risque / Perdus
12392.0,586,1,234.75000000000003,El Jadida,4,1,1,411,0,Clients Réguliers
12393.0,67,6,2399.4500000000003,El Jadida,2,3,4,234,2,Clients à Risque / Perdus
12394.0,59,2,1272.48,Rabat,2,2,3,223,2,Clients à Risque / Perdus
12395.0,14,15,5067.27,Rabat,1,4,4,144,2,Clients à Risque / Perdus
12396.0,669,1,931.43,Casablanca,4,1,3,413,0,Clients Réguliers
12397.0,31,2,2409.9,Fès,2,2,4,224,2,Clients à Risque / Perdus
12398.0,41,1,1635.6599999999999,Agadir,2,1,3,213,2,Clients à Risque / Perdus
12399.0,115,7,1962.3,Marrakech,3,3,3,333,2,Clients à Risque / Perdus
12400.0,409,1,205.25,Tanger,4,1,1,411,0,Clients Réguliers
12401.0,298,1,84.3,Fès,3,1,1,311,0,Clients Réguliers
12402.0,318,6,1256.9,Fès,3,3,3,333,0,Clients Réguliers
12403.0,45,2,1019.36,Rabat,2,2,3,223,2,Clients à Risque / Perdus
12404.0,677,1,63.24,Fès,4,1,1,411,0,Clients Réguliers
12405.0,144,1,1710.39,Rabat,3,1,3,313,2,Clients à Risque / Perdus
12406.0,17,5,6390.36,Marrakech,1,3,4,134,2,Clients à Risque / Perdus
12407.0,45,5,1708.1200000000001,Kenitra,2,3,3,233,2,Clients à Risque / Perdus
12408.0,28,8,4340.7699999999995,Oujda,2,4,4,244,2,Clients à Risque / Perdus
12409.0,74,7,23419.29,Tanger,2,3,4,234,2,Clients à Risque / Perdus
12410.0,304,3,1013.71,Casablanca,3,2,3,323,0,Clients Réguliers
12411.0,405,1,346.9,Casablanca,4,1,2,412,0,Clients Réguliers
12412.0,70,6,2596.93,Fès,2,3,4,234,2,Clients à Risque / Perdus
12413.0,62,4,999.45,Rabat,2,3,3,233,2,Clients à Risque / Perdus
12414.0,212,6,952.41,Rabat,3,3,3,333,2,Clients à Risque / Perdus
12415.0,19,28,144458.37,Rabat,1,4,4,144,1,VIP / Champions
12416.0,652,1,202.56,Rabat,4,1,1,411,0,Clients Réguliers
12417.0,34,19,6447.18,Tétouan,2,4,4,244,2,Clients à Risque / Perdus
12418.0,108,4,2021.2,Rabat,3,3,3,333,2,Clients à Risque / Perdus
12419.0,381,2,503.01,Casablanca,4,2,2,422,0,Clients Réguliers
12420.0,59,1,600.39,Casablanca,2,1,2,212,2,Clients à Risque / Perdus
12421.0,11,6,1098.6,Casablanca,1,3,3,133,2,Clients à Risque / Perdus
12422.0,91,17,5231.8,El Jadida,2,4,4,244,2,Clients à Risque / Perdus
12423.0,96,9,2413.75,Tanger,2,4,4,244,2,Clients à Risque / Perdus
12424.0,158,4,3340.03,Oujda,3,3,4,334,2,Clients à Risque / Perdus
12425.0,73,2,1741.41,Tanger,2,2,3,223,2,Clients à Risque / Perdus
12426.0,190,2,1345.21,Fès,3,2,3,323,2,Clients à Risque / Perdus
12427.0,17,3,1129.3,Casablanca,1,2,3,123,2,Clients à Risque / Perdus
