Recence,Frequence,Montant,Ville,Segment,Cluster,RFM_Score,Churn,Proba_Churn,Risque
321,12,77556.46,Kenitra,Clients à Risque / Perdus,2,344,1,0.9995241,Élevé
35,7,5408.5,Rabat,Clients à Risque / Perdus,2,234,0,0.00025717216,Faible
71,5,2019.4,Kenitra,Clients à Risque / Perdus,2,233,0,0.00028149466,Faible
14,4,4428.69,Oujda,Clients à Risque / Perdus,2,134,0,0.00021904154,Faible
305,1,334.4,Marrakech,Clients Réguliers,0,311,1,0.9997396,Élevé
370,1,300.93,Fès,Clients Réguliers,0,311,1,0.99971753,Élevé
31,10,2849.84,Tétouan,Clients à Risque / Perdus,2,244,0,0.0002562538,Faible
199,2,406.76,Tétouan,Clients à Risque / Perdus,2,322,1,0.99969923,Élevé
228,1,1079.4,Kenitra,Clients à Risque / Perdus,2,313,1,0.9997396,Élevé
209,2,947.61,Agadir,Clients à Risque / Perdus,2,323,1,0.99970335,Élevé
18,6,6373.68,Oujda,Clients à Risque / Perdus,2,134,0,0.00021904154,Faible
28,3,18287.66,Agadir,Clients à Risque / Perdus,2,224,0,0.00021904154,Faible
146,4,3203.87,Tanger,Clients à Risque / Perdus,2,334,0,0.0003606093,Faible
53,10,8935.94,Tanger,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
47,8,4252.89,Fès,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
282,4,511.25,Rabat,Clients Réguliers,0,332,1,0.9996117,Élevé
31,10,4827.19,Rabat,Clients à Risque / Perdus,2,244,0,0.00024341333,Faible
105,2,552.0,Rabat,Clients à Risque / Perdus,2,322,0,0.0009957587,Faible
3,4,1313.1,Kenitra,Clients à Risque / Perdus,2,133,0,0.00021904154,Faible
286,2,641.38,Rabat,Clients Réguliers,0,322,1,0.99976844,Élevé
629,1,500.24,Casablanca,Clients Réguliers,0,412,1,0.9997967,Élevé
623,1,917.7,El Jadida,Clients Réguliers,0,413,1,0.9997967,Élevé
409,3,1791.15,Casablanca,Clients Réguliers,0,423,1,0.9996105,Élevé
46,7,4320.31,Casablanca,Clients à Risque / Perdus,2,234,0,0.00023124371,Faible
40,5,4067.38,Fès,Clients à Risque / Perdus,2,234,0,0.0003199647,Faible
67,3,1298.04,Meknès,Clients à Risque / Perdus,2,223,0,0.0003199647,Faible
307,3,1127.65,Rabat,Clients Réguliers,0,323,1,0.99926907,Élevé
20,4,2989.2200000000003,Casablanca,Clients à Risque / Perdus,2,134,0,0.00021904154,Faible
6,2,457.5,Tanger,Clients à Risque / Perdus,2,122,0,0.0002842593,Faible
385,2,503.15,Casablanca,Clients Réguliers,0,422,1,0.99976915,Élevé
310,4,3426.32,Casablanca,Clients Réguliers,0,334,1,0.9996105,Élevé
125,2,5416.32,Marrakech,Clients à Risque / Perdus,2,324,0,0.0010097836,Faible
77,4,1620.22,Marrakech,Clients à Risque / Perdus,2,233,0,0.0003028478,Faible
17,11,9676.3,Rabat,Clients à Risque / Perdus,2,144,0,0.00025717216,Faible
28,4,1698.3,Rabat,Clients à Risque / Perdus,2,233,0,0.00021904154,Faible
180,5,1850.56,Fès,Clients à Risque / Perdus,2,333,0,0.106362306,Faible
24,2,585.27,Rabat,Clients à Risque / Perdus,2,122,0,0.0002842593,Faible
