Recency,Frequency,Monetary,City,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment_Name
321,12,77556.46,Kenitra,3,4,4,344,2,Clients à Risque / Perdus
35,7,5408.5,Rabat,2,3,4,234,2,Clients à Risque / Perdus
71,5,2019.4,Kenitra,2,3,3,233,2,Clients à Risque / Perdus
14,4,4428.69,Oujda,1,3,4,134,2,Clients à Risque / Perdus
305,1,334.4,Marrakech,3,1,1,311,0,Clients Réguliers
370,1,300.93,Fès,3,1,1,311,0,Clients Réguliers
31,10,2849.84,Tétouan,2,4,4,244,2,Clients à Risque / Perdus
199,2,406.76,Tétouan,3,2,2,322,2,Clients à Risque / Perdus
228,1,1079.4,Kenitra,3,1,3,313,2,Clients à Risque / Perdus
209,2,947.61,Agadir,3,2,3,323,2,Clients à Risque / Perdus
18,6,6373.68,Oujda,1,3,4,134,2,Clients à Risque / Perdus
28,3,18287.66,Agadir,2,2,4,224,2,Clients à Risque / Perdus
146,4,3203.87,Tanger,3,3,4,334,2,Clients à Risque / Perdus
53,10,8935.94,Tanger,2,4,4,244,2,Clients à Risque / Perdus
47,8,4252.89,Fès,2,4,4,244,2,Clients à Risque / Perdus
282,4,511.25,Rabat,3,3,2,332,0,Clients Réguliers
31,10,4827.19,Rabat,2,4,4,244,2,Clients à Risque / Perdus
105,2,552.0,Rabat,3,2,2,322,2,Clients à Risque / Perdus
3,4,1313.1,Kenitra,1,3,3,133,2,Clients à Risque / Perdus
286,2,641.38,Rabat,3,2,2,322,0,Clients Réguliers
629,1,500.24,Casablanca,4,1,2,412,0,Clients Réguliers
623,1,917.6999999999999,El Jadida,4,1,3,413,0,Clients Réguliers
409,3,1791.15,Casablanca,4,2,3,423,0,Clients Réguliers
46,7,4320.31,Casablanca,2,3,4,234,2,Clients à Risque / Perdus
40,5,4067.38,Fès,2,3,4,234,2,Clients à Risque / Perdus
67,3,1298.04,Meknès,2,2,3,223,2,Clients à Risque / Perdus
307,3,1127.65,Rabat,3,2,3,323,0,Clients Réguliers
20,4,2989.2200000000003,Casablanca,1,3,4,134,2,Clients à Risque / Perdus
6,2,457.5,Tanger,1,2,2,122,2,Clients à Risque / Perdus
385,2,503.15,Casablanca,4,2,2,422,0,Clients Réguliers
310,4,3426.32,Casablanca,3,3,4,334,0,Clients Réguliers
125,2,5416.32,Marrakech,3,2,4,324,2,Clients à Risque / Perdus
77,4,1620.22,Marrakech,2,3,3,233,2,Clients à Risque / Perdus
17,11,9676.300000000001,Rabat,1,4,4,144,2,Clients à Risque / Perdus
28,4,1698.3,Rabat,2,3,3,233,2,Clients à Risque / Perdus
180,5,1850.56,Fès,3,3,3,333,2,Clients à Risque / Perdus
24,2,585.27,Rabat,1,2,2,122,2,Clients à Risque / Perdus
374,1,1938.4,Marrakech,3,1,3,313,0,Clients Réguliers
333,2,660.8,Tanger,3,2,2,322,0,Clients Réguliers
410,1,143.94,Casablanca,4,1,1,411,0,Clients Réguliers
11,8,3901.11,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
398,3,1433.33,Rabat,4,2,3,423,0,Clients Réguliers
75,1,549.84,Oujda,2,1,2,212,2,Clients à Risque / Perdus
17,6,2773.42,Casablanca,1,3,4,134,2,Clients à Risque / Perdus
586,1,234.75000000000003,El Jadida,4,1,1,411,0,Clients Réguliers
67,6,2399.4500000000003,El Jadida,2,3,4,234,2,Clients à Risque / Perdus
59,2,1272.48,Rabat,2,2,3,223,2,Clients à Risque / Perdus
14,15,5067.27,Rabat,1,4,4,144,2,Clients à Risque / Perdus
669,1,931.43,Casablanca,4,1,3,413,0,Clients Réguliers
31,2,2409.9,Fès,2,2,4,224,2,Clients à Risque / Perdus
41,1,1635.6599999999999,Agadir,2,1,3,213,2,Clients à Risque / Perdus
115,7,1962.3,Marrakech,3,3,3,333,2,Clients à Risque / Perdus
409,1,205.25,Tanger,4,1,1,411,0,Clients Réguliers
298,1,84.3,Fès,3,1,1,311,0,Clients Réguliers
318,6,1256.9,Fès,3,3,3,333,0,Clients Réguliers
45,2,1019.36,Rabat,2,2,3,223,2,Clients à Risque / Perdus
677,1,63.24,Fès,4,1,1,411,0,Clients Réguliers
144,1,1710.39,Rabat,3,1,3,313,2,Clients à Risque / Perdus
17,5,6390.36,Marrakech,1,3,4,134,2,Clients à Risque / Perdus
45,5,1708.1200000000001,Kenitra,2,3,3,233,2,Clients à Risque / Perdus
28,8,4340.7699999999995,Oujda,2,4,4,244,2,Clients à Risque / Perdus
74,7,23419.29,Tanger,2,3,4,234,2,Clients à Risque / Perdus
304,3,1013.71,Casablanca,3,2,3,323,0,Clients Réguliers
405,1,346.9,Casablanca,4,1,2,412,0,Clients Réguliers
70,6,2596.93,Fès,2,3,4,234,2,Clients à Risque / Perdus
62,4,999.45,Rabat,2,3,3,233,2,Clients à Risque / Perdus
212,6,952.41,Rabat,3,3,3,333,2,Clients à Risque / Perdus
19,28,144458.37,Rabat,1,4,4,144,1,VIP / Champions
652,1,202.56,Rabat,4,1,1,411,0,Clients Réguliers
34,19,6447.18,Tétouan,2,4,4,244,2,Clients à Risque / Perdus
108,4,2021.2,Rabat,3,3,3,333,2,Clients à Risque / Perdus
381,2,503.01,Casablanca,4,2,2,422,0,Clients Réguliers
59,1,600.39,Casablanca,2,1,2,212,2,Clients à Risque / Perdus
11,6,1098.6,Casablanca,1,3,3,133,2,Clients à Risque / Perdus
91,17,5231.8,El Jadida,2,4,4,244,2,Clients à Risque / Perdus
96,9,2413.75,Tanger,2,4,4,244,2,Clients à Risque / Perdus
158,4,3340.03,Oujda,3,3,4,334,2,Clients à Risque / Perdus
73,2,1741.41,Tanger,2,2,3,223,2,Clients à Risque / Perdus
190,2,1345.21,Fès,3,2,3,323,2,Clients à Risque / Perdus
17,3,1129.3,Casablanca,1,2,3,123,2,Clients à Risque / Perdus
21,9,7956.46,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
4,8,7485.91,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
38,1,256.4,Marrakech,2,1,1,211,2,Clients à Risque / Perdus
31,27,10857.97,Rabat,2,4,4,244,2,Clients à Risque / Perdus
38,5,5059.32,Casablanca,2,3,4,234,2,Clients à Risque / Perdus
4,8,17942.57,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
80,3,1103.43,Kenitra,2,2,3,223,2,Clients à Risque / Perdus
75,6,13925.93,Tanger,2,3,4,234,2,Clients à Risque / Perdus
95,1,509.01,Rabat,2,1,2,212,2,Clients à Risque / Perdus
4,38,12517.5,Rabat,1,4,4,144,2,Clients à Risque / Perdus
9,2,2906.85,Marrakech,1,2,4,124,2,Clients à Risque / Perdus
678,2,1158.18,Agadir,4,2,3,423,0,Clients Réguliers
458,2,859.2,Casablanca,4,2,2,422,0,Clients Réguliers
362,1,347.1,Rabat,3,1,2,312,0,Clients Réguliers
727,1,485.31,Casablanca,4,1,2,412,0,Clients Réguliers
16,5,5005.46,Oujda,1,3,4,134,2,Clients à Risque / Perdus
17,2,434.98,Marrakech,1,2,2,122,2,Clients à Risque / Perdus
53,1,1002.3100000000001,Rabat,2,1,3,213,2,Clients à Risque / Perdus
238,1,476.49,Marrakech,3,1,2,312,2,Clients à Risque / Perdus
39,1,449.45,Rabat,2,1,2,212,2,Clients à Risque / Perdus
17,6,4835.89,Tanger,1,3,4,134,2,Clients à Risque / Perdus
151,5,688.2,Casablanca,3,3,2,332,2,Clients à Risque / Perdus
6,8,12669.88,El Jadida,1,4,4,144,2,Clients à Risque / Perdus
12,2,430.57,Tétouan,1,2,2,122,2,Clients à Risque / Perdus
129,1,707.09,Meknès,3,1,2,312,2,Clients à Risque / Perdus
51,5,16679.78,Marrakech,2,3,4,234,2,Clients à Risque / Perdus
68,10,5879.95,Tanger,2,4,4,244,2,Clients à Risque / Perdus
39,3,3181.04,Tanger,2,2,4,224,2,Clients à Risque / Perdus
62,8,2995.91,Agadir,2,4,4,244,2,Clients à Risque / Perdus
66,4,1777.49,Rabat,2,3,3,233,2,Clients à Risque / Perdus
600,1,454.36,Rabat,4,1,2,412,0,Clients Réguliers
451,1,326.65,Rabat,4,1,1,411,0,Clients Réguliers
89,2,826.88,Marrakech,2,2,2,222,2,Clients à Risque / Perdus
14,2,1189.59,Marrakech,1,2,3,123,2,Clients à Risque / Perdus
48,4,1344.78,Marrakech,2,3,3,233,2,Clients à Risque / Perdus
5,8,1212.05,Casablanca,1,4,3,143,2,Clients à Risque / Perdus
12,2,742.1899999999999,Tétouan,1,2,2,122,2,Clients à Risque / Perdus
677,1,56.73,Tanger,4,1,1,411,0,Clients Réguliers
418,1,132.8,Marrakech,4,1,1,411,0,Clients Réguliers
183,5,3670.74,Casablanca,3,3,4,334,2,Clients à Risque / Perdus
518,2,3070.54,Rabat,4,2,4,424,0,Clients Réguliers
685,1,211.95,Oujda,4,1,1,411,0,Clients Réguliers
6,78,37725.28,Agadir,1,4,4,144,1,VIP / Champions
27,19,17880.59,Rabat,2,4,4,244,2,Clients à Risque / Perdus
24,5,3938.5499999999997,Agadir,1,3,4,134,2,Clients à Risque / Perdus
12,31,12424.45,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
49,2,1149.64,Casablanca,2,2,3,223,2,Clients à Risque / Perdus
11,23,14115.41,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
18,9,20276.37,Rabat,1,4,4,144,2,Clients à Risque / Perdus
6,1,527.2,El Jadida,1,1,2,112,2,Clients à Risque / Perdus
23,7,5464.85,Casablanca,1,3,4,134,2,Clients à Risque / Perdus
18,15,12361.39,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
571,29,23691.4,Casablanca,4,4,4,444,0,Clients Réguliers
12,19,5120.58,Rabat,1,4,4,144,2,Clients à Risque / Perdus
28,12,6370.15,Marrakech,2,4,4,244,2,Clients à Risque / Perdus
524,1,708.1,Marrakech,4,1,2,412,0,Clients Réguliers
427,1,1037.28,Marrakech,4,1,3,413,0,Clients Réguliers
726,1,285.29999999999995,El Jadida,4,1,1,411,0,Clients Réguliers
5,3,1298.66,Rabat,1,2,3,123,2,Clients à Risque / Perdus
332,1,334.93,Marrakech,3,1,1,311,0,Clients Réguliers
13,20,9361.34,Meknès,1,4,4,144,2,Clients à Risque / Perdus
34,1,460.40000000000003,Marrakech,2,1,2,212,2,Clients à Risque / Perdus
58,3,715.21,Casablanca,2,2,2,222,2,Clients à Risque / Perdus
161,2,433.74,Oujda,3,2,2,322,2,Clients à Risque / Perdus
11,9,1872.8700000000001,Tanger,1,4,3,143,2,Clients à Risque / Perdus
636,1,357.4,Casablanca,4,1,2,412,0,Clients Réguliers
615,2,54.09,Tanger,4,2,1,421,0,Clients Réguliers
77,3,6248.5,Oujda,2,2,4,224,2,Clients à Risque / Perdus
17,3,403.70000000000005,Tanger,1,2,2,122,2,Clients à Risque / Perdus
555,1,393.72,Casablanca,4,1,2,412,0,Clients Réguliers
18,19,5955.21,El Jadida,1,4,4,144,2,Clients à Risque / Perdus
332,1,2169.39,Marrakech,3,1,3,313,0,Clients Réguliers
91,5,3723.87,Casablanca,2,3,4,234,2,Clients à Risque / Perdus
579,1,1126.0,Casablanca,4,1,3,413,0,Clients Réguliers
13,4,779.05,Tétouan,1,3,2,132,2,Clients à Risque / Perdus
404,1,955.2,Casablanca,4,1,3,413,0,Clients Réguliers
228,1,73.5,Tanger,3,1,1,311,2,Clients à Risque / Perdus
129,4,1844.06,Marrakech,3,3,3,333,2,Clients à Risque / Perdus
21,2,398.27,Meknès,1,2,2,122,2,Clients à Risque / Perdus
279,1,176.5,Tanger,3,1,1,311,0,Clients Réguliers
138,9,5178.02,Fès,3,4,4,344,2,Clients à Risque / Perdus
424,1,3084.02,Casablanca,4,1,4,414,0,Clients Réguliers
61,2,138.03,Rabat,2,2,1,221,2,Clients à Risque / Perdus
108,1,612.29,Agadir,3,1,2,312,2,Clients à Risque / Perdus
262,2,1597.76,Rabat,3,2,3,323,0,Clients Réguliers
348,1,383.7,Marrakech,3,1,2,312,0,Clients Réguliers
73,4,2648.62,Casablanca,2,3,4,234,2,Clients à Risque / Perdus
23,5,2502.84,Rabat,1,3,4,134,2,Clients à Risque / Perdus
24,4,1717.75,Tanger,1,3,3,133,2,Clients à Risque / Perdus
59,2,726.54,Agadir,2,2,2,222,2,Clients à Risque / Perdus
74,5,2634.26,Rabat,2,3,4,234,2,Clients à Risque / Perdus
138,1,599.68,Marrakech,3,1,2,312,2,Clients à Risque / Perdus
34,2,192.72,Fès,2,2,1,221,2,Clients à Risque / Perdus
15,23,4372.15,Rabat,1,4,4,144,2,Clients à Risque / Perdus
4,17,11126.11,Tanger,1,4,4,144,2,Clients à Risque / Perdus
493,3,973.73,Casablanca,4,2,3,423,0,Clients Réguliers
49,2,1039.58,Fès,2,2,3,223,2,Clients à Risque / Perdus
77,5,735.51,Casablanca,2,3,2,232,2,Clients à Risque / Perdus
4,6,1933.48,Oujda,1,3,3,133,2,Clients à Risque / Perdus
524,1,316.48,El Jadida,4,1,1,411,0,Clients Réguliers
55,9,3759.26,Meknès,2,4,4,244,2,Clients à Risque / Perdus
10,2,1933.2,Marrakech,1,2,3,123,2,Clients à Risque / Perdus
25,1,349.83000000000004,Rabat,1,1,2,112,2,Clients à Risque / Perdus
623,2,1367.89,Casablanca,4,2,3,423,0,Clients Réguliers
126,1,1089.18,Casablanca,3,1,3,313,2,Clients à Risque / Perdus
87,2,716.35,Casablanca,2,2,2,222,2,Clients à Risque / Perdus
38,3,12601.830000000002,Tétouan,2,2,4,224,2,Clients à Risque / Perdus
404,1,732.94,Casablanca,4,1,2,412,0,Clients Réguliers
24,2,640.45,Fès,1,2,2,122,2,Clients à Risque / Perdus
17,7,11214.75,Agadir,1,3,4,134,2,Clients à Risque / Perdus
15,33,22254.49,Tétouan,1,4,4,144,2,Clients à Risque / Perdus
25,3,981.18,Fès,1,2,3,123,2,Clients à Risque / Perdus
479,2,481.88,Agadir,4,2,2,422,0,Clients Réguliers
443,1,980.25,Marrakech,4,1,3,413,0,Clients Réguliers
31,1,372.7,Rabat,2,1,2,212,2,Clients à Risque / Perdus
70,2,1000.39,El Jadida,2,2,3,223,2,Clients à Risque / Perdus
42,2,1161.5,Marrakech,2,2,3,223,2,Clients à Risque / Perdus
193,3,383.58,Rabat,3,2,2,322,2,Clients à Risque / Perdus
161,1,95.19999999999999,Rabat,3,1,1,311,2,Clients à Risque / Perdus
571,6,1575.68,Tanger,4,3,3,433,0,Clients Réguliers
74,1,964.83,Marrakech,2,1,3,213,2,Clients à Risque / Perdus
353,1,168.0,Meknès,3,1,1,311,0,Clients Réguliers
34,2,437.82,Tanger,2,2,2,222,2,Clients à Risque / Perdus
3,12,4608.75,Rabat,1,4,4,144,2,Clients à Risque / Perdus
444,1,468.5,Kenitra,4,1,2,412,0,Clients Réguliers
677,1,129.23,Casablanca,4,1,1,411,0,Clients Réguliers
